frame,x,y,visible
0,2458.0,181.0,1
1,2458.0,181.0,1
2,2458.0,181.0,1
3,2458.0,181.0,1
4,2458.0,181.0,1
5,2458.0,181.0,1
6,2458.0,181.0,1
7,2458.0,181.0,1
8,2458.0,181.0,1
9,2458.0,181.0,1
10,2458.0,181.0,1
11,2458.0,181.0,1
12,2458.0,181.0,1
13,2458.0,181.0,1
14,2458.0,181.0,1
15,2458.0,181.0,1
16,2458.0,181.0,1
17,2458.0,181.0,1
18,2458.0,181.0,1
19,2458.0,181.0,1
20,2458.0,181.0,1
21,2458.0,181.0,1
22,2458.0,181.0,1
23,2458.0,181.0,1
24,2458.0,181.0,1
25,2458.0,181.0,1
26,2458.0,181.0,1
27,2458.0,181.0,1
28,2458.0,181.0,1
29,2458.0,181.0,1
30,2458.0,181.0,1
31,2458.0,181.0,1
32,2458.0,181.0,1
33,2458.0,181.0,1
34,2458.0,181.0,1
35,2458.0,181.0,1
36,2458.0,181.0,1
37,2458.0,181.0,1
38,2458.0,181.0,1
39,2458.0,181.0,1
40,2458.0,181.0,1
41,2458.0,181.0,1
42,2458.0,181.0,1
43,2458.0,181.0,1
44,2458.0,181.0,1
45,2458.0,181.0,1
46,2458.0,181.0,1
47,2458.0,181.0,1
48,2458.0,181.0,1
49,2458.0,181.0,1
50,2458.0,181.0,1
51,2458.0,181.0,1
52,2458.0,181.0,1
53,2458.0,181.0,1
54,2458.0,181.0,1
55,2458.0,181.0,1
56,2458.0,181.0,1
57,2458.0,181.0,1
58,2458.0,181.0,1
59,2458.0,181.0,1
60,2458.0,181.0,1
61,2458.0,181.0,1
62,2458.0,182.0,1
63,2458.0,182.0,1
64,2458.0,181.0,1
65,2458.0,181.0,1
66,2458.0,181.0,1
67,2458.0,181.0,1
68,2458.0,181.0,1
69,2458.0,181.0,1
70,2458.0,181.0,1
71,2458.0,181.0,1
72,2458.0,181.0,1
73,2458.0,181.0,1
74,2458.0,181.0,1
75,2458.0,181.0,1
76,2458.0,181.0,1
77,2458.0,181.0,1
78,2458.0,181.0,1
79,2458.0,181.0,1
80,2458.0,181.0,1
81,2458.0,181.0,1
82,2458.0,181.0,1
83,2458.0,181.0,1
84,2458.0,181.0,1
85,2458.0,181.0,1
86,2458.0,181.0,1
87,2458.0,181.0,1
88,2458.0,181.0,1
89,2458.0,181.0,1
90,2458.0,181.0,1
91,2458.0,181.0,1
92,2458.0,181.0,1
93,2458.0,181.0,1
94,2458.0,181.0,1
95,2458.0,181.0,1
96,2458.0,181.0,1
97,2458.0,181.0,1
98,2458.0,181.0,1
99,2458.0,181.0,1
100,2458.0,181.0,1
101,2458.0,181.0,1
102,2458.0,181.0,1
103,2458.0,181.0,1
104,2458.0,181.0,1
105,2458.0,181.0,1
106,2458.0,181.0,1
107,2458.0,181.0,1
108,2458.0,181.0,1
109,2458.0,181.0,1
110,2458.0,181.0,1
111,2458.0,181.0,1
112,2458.0,181.0,1
113,2458.0,181.0,1
114,2459.0,181.0,1
115,2459.0,181.0,1
116,2459.0,181.0,1
117,2459.0,181.0,1
118,2459.0,181.0,1
119,2459.0,181.0,1
120,2459.0,181.0,1
121,2459.0,181.0,1
122,2459.0,181.0,1
123,2459.0,181.0,1
124,2459.0,181.0,1
125,2459.0,181.0,1
126,2459.0,181.0,1
127,2459.0,181.0,1
128,2459.0,181.0,1
129,2459.0,181.0,1
130,2459.0,181.0,1
131,2459.0,181.0,1
132,2459.0,181.0,1
133,2459.0,181.0,1
134,2459.0,181.0,1
135,2459.0,181.0,1
136,2459.0,181.0,1
137,2459.0,181.0,1
138,2459.0,181.0,1
139,2459.0,181.0,1
140,2459.0,181.0,1
141,2459.0,181.0,1
142,2459.0,181.0,1
143,2459.0,181.0,1
144,2459.0,181.0,1
145,2459.0,181.0,1
146,2459.0,181.0,1
147,2459.0,181.0,1
148,2459.0,181.0,1
149,2459.0,181.0,1
150,2459.0,181.0,1
151,2459.0,181.0,1
152,2459.0,181.0,1
153,2459.0,181.0,1
154,2459.0,181.0,1
155,2459.0,181.0,1
156,2459.0,181.0,1
157,2459.0,181.0,1
158,2459.0,181.0,1
159,2459.0,181.0,1
160,2459.0,181.0,1
161,2459.0,181.0,1
162,2459.0,181.0,1
163,2459.0,181.0,1
164,1483.0,660.0,1
165,1483.0,660.0,1
166,2459.0,181.0,1
167,2459.0,181.0,1
168,2459.0,181.0,1
169,2459.0,181.0,1
170,2459.0,181.0,1
171,2458.0,181.0,1
172,2458.0,181.0,1
173,2458.0,182.0,1
174,2458.0,182.0,1
175,2458.0,182.0,1
176,2458.0,182.0,1
177,2458.0,182.0,1
178,2458.0,182.0,1
179,2458.0,182.0,1
180,2458.0,182.0,1
181,2458.0,182.0,1
182,2458.0,182.0,1
183,2458.0,182.0,1
184,2458.0,182.0,1
185,2459.0,181.0,1
186,2459.0,181.0,1
187,2459.0,181.0,1
188,2459.0,181.0,1
189,2459.0,181.0,1
190,2459.0,181.0,1
191,2459.0,181.0,1
192,2459.0,181.0,1
193,2459.0,181.0,1
194,2459.0,181.0,1
195,2459.0,181.0,1
196,2459.0,181.0,1
197,2459.0,181.0,1
198,2459.0,181.0,1
199,2459.0,181.0,1
200,2459.0,181.0,1
201,2459.0,181.0,1
202,2459.0,181.0,1
203,2459.0,181.0,1
204,2459.0,181.0,1
205,2459.0,181.0,1
206,2459.0,181.0,1
207,2459.0,181.0,1
208,2459.0,181.0,1
209,2459.0,181.0,1
210,2459.0,181.0,1
211,2459.0,181.0,1
212,2459.0,181.0,1
213,2459.0,181.0,1
214,1152.0,726.0,1
215,1152.0,726.0,1
216,1152.0,726.0,1
217,2459.0,181.0,1
218,2459.0,181.0,1
219,2459.0,181.0,1
220,2459.0,181.0,1
221,2459.0,181.0,1
222,2459.0,181.0,1
223,2459.0,181.0,1
224,2459.0,181.0,1
225,2459.0,181.0,1
226,2459.0,181.0,1
227,2459.0,181.0,1
228,2459.0,181.0,1
229,1151.0,622.0,1
230,1151.0,622.0,1
231,2459.0,181.0,1
232,2459.0,181.0,1
233,2459.0,181.0,1
234,2459.0,181.0,1
235,2459.0,181.0,1
236,2459.0,181.0,1
237,2459.0,181.0,1
238,2459.0,181.0,1
239,2459.0,181.0,1
240,2459.0,181.0,1
241,2459.0,181.0,1
242,2459.0,181.0,1
243,2459.0,181.0,1
244,2459.0,181.0,1
245,2459.0,181.0,1
246,2459.0,181.0,1
247,2459.0,181.0,1
248,2459.0,181.0,1
249,2459.0,181.0,1
250,2459.0,181.0,1
251,2459.0,181.0,1
252,2459.0,181.0,1
253,2458.0,181.0,1
254,2459.0,181.0,1
255,2459.0,181.0,1
256,2459.0,181.0,1
257,2458.0,182.0,1
258,2458.0,182.0,1
259,2458.0,182.0,1
260,2458.0,182.0,1
261,2458.0,182.0,1
262,2458.0,182.0,1
263,2458.0,182.0,1
264,2458.0,182.0,1
265,2458.0,182.0,1
