frame,x,y,visible
0,1217.0,381.0,1
1,1440.0,504.0,1
2,1441.0,504.0,1
3,780.0,271.0,0
4,1439.0,503.0,1
5,1438.0,503.0,1
6,1437.0,503.0,1
7,1437.0,503.0,1
8,1437.0,503.0,1
9,1437.0,502.0,1
10,1436.0,502.0,1
11,1277.0,337.0,1
12,1278.0,337.0,1
13,1279.0,337.0,1
14,1281.0,336.0,1
15,1281.0,337.0,1
16,1439.0,504.0,1
17,1437.0,503.0,1
18,1437.0,503.0,1
19,1437.0,503.0,1
20,1216.0,392.0,1
21,1217.0,391.0,1
22,1217.0,391.0,1
23,1217.0,391.0,1
24,1217.0,391.0,1
25,1170.0,373.0,0
26,1145.0,361.0,0
27,1120.0,350.0,0
28,1096.0,338.0,0
29,1071.0,327.0,0
30,1046.0,316.0,0
31,1022.0,304.0,0
32,997.0,293.0,0
33,972.0,281.0,0
34,948.0,270.0,0
35,923.0,259.0,0
36,898.0,247.0,0
37,873.0,236.0,0
38,849.0,224.0,0
39,824.0,213.0,0
40,799.0,202.0,0
41,775.0,190.0,0
42,750.0,179.0,0
43,725.0,167.0,0
44,1438.0,503.0,1
45,1438.0,503.0,1
46,1466.0,516.0,0
47,1486.0,526.0,0
48,1507.0,536.0,0
49,1527.0,546.0,0
50,1548.0,555.0,0
51,1568.0,565.0,0
52,1589.0,575.0,0
53,1609.0,585.0,0
54,1630.0,595.0,0
55,1168.0,558.0,1
56,1145.0,563.0,0
57,1113.0,568.0,0
58,1159.0,429.0,1
59,1176.0,414.0,1
60,1185.0,407.0,1
61,1189.0,404.0,1
62,1177.0,372.0,0
63,1177.0,353.0,0
64,1178.0,333.0,0
65,1179.0,314.0,0
66,1180.0,294.0,0
67,1181.0,275.0,0
68,1182.0,255.0,0
69,1244.0,423.0,1
70,1252.0,431.0,1
71,1255.0,438.0,1
72,1264.0,452.0,1
73,1271.0,466.0,1
74,1274.0,477.0,1
75,1277.0,484.0,1
76,1284.0,504.0,1
77,1291.0,524.0,1
78,1297.0,536.0,1
79,1302.0,548.0,0
80,1307.0,563.0,0
81,1256.0,327.0,1
82,1361.0,513.0,1
83,1578.0,481.0,1
84,1273.0,397.0,1
85,1785.0,485.0,1
86,1838.0,488.0,1
87,1361.0,513.0,1
88,2054.0,507.0,1
89,2109.0,511.0,1
90,2222.0,526.0,1
91,2222.0,526.0,1
92,2335.0,542.0,1
93,2335.0,541.0,1
94,2449.0,560.0,1
95,1357.0,515.0,1
96,1357.0,516.0,1
97,1357.0,516.0,1
98,1356.0,514.0,1
99,1280.0,393.0,1
100,1290.0,392.0,1
101,1074.0,380.0,0
102,973.0,352.0,0
103,1363.0,513.0,1
104,1363.0,514.0,1
105,1362.0,513.0,1
106,1361.0,512.0,1
107,1361.0,512.0,1
108,1362.0,510.0,1
109,1362.0,510.0,1
110,1378.0,519.0,0
111,1385.0,522.0,0
112,1393.0,525.0,0
113,1400.0,528.0,0
114,1611.0,613.0,1
115,1611.0,613.0,1
116,1656.0,631.0,0
117,1695.0,646.0,0
118,1600.0,587.0,1
119,1599.0,587.0,1
120,1596.0,581.0,1
121,1596.0,581.0,1
122,1596.0,581.0,1
123,1596.0,581.0,1
124,1595.0,576.0,0
125,1593.0,573.0,0
126,1591.0,571.0,0
127,1590.0,568.0,0
128,1588.0,565.0,0
129,1586.0,563.0,0
130,1584.0,560.0,0
131,1583.0,558.0,0
132,1581.0,555.0,0
133,1579.0,552.0,0
134,1577.0,550.0,0
135,1575.0,547.0,0
136,1574.0,545.0,0
137,1572.0,542.0,0
138,1570.0,539.0,0
139,1339.0,460.0,1
140,1339.0,460.0,1
141,1314.0,449.0,0
142,1297.0,441.0,0
143,1279.0,434.0,0
144,1262.0,426.0,0
145,1245.0,418.0,0
146,1227.0,411.0,0
147,1063.0,765.0,1
148,1063.0,765.0,1
149,1064.0,765.0,1
150,1064.0,765.0,1
151,1064.0,765.0,1
152,1064.0,765.0,1
153,1065.0,765.0,1
154,1065.0,765.0,1
155,1064.0,764.0,1
156,1064.0,764.0,1
157,1064.0,764.0,1
158,1063.0,764.0,1
159,1063.0,764.0,1
160,1063.0,764.0,1
161,1063.0,764.0,1
162,1063.0,762.0,0
163,1063.0,762.0,0
164,1063.0,761.0,0
165,1063.0,761.0,0
166,1303.0,464.0,1
167,1303.0,464.0,1
168,1304.0,464.0,1
169,1355.0,398.0,0
170,1387.0,359.0,0
171,1418.0,320.0,0
172,1450.0,281.0,0
173,1482.0,241.0,0
174,1513.0,202.0,0
175,1307.0,456.0,1
176,1307.0,456.0,1
177,1307.0,454.0,0
178,1306.0,455.0,1
179,1306.0,455.0,1
180,1307.0,455.0,1
181,1308.0,455.0,1
182,1308.0,455.0,1
183,1309.0,454.0,1
184,2012.0,857.0,1
185,1363.0,523.0,1
186,1612.0,653.0,0
187,1658.0,685.0,0
188,1704.0,717.0,0
189,1750.0,749.0,0
190,1796.0,781.0,0
191,1842.0,813.0,0
192,1888.0,845.0,0
193,1934.0,877.0,0
194,1980.0,908.0,0
195,1185.0,506.0,1
196,1185.0,506.0,1
197,1128.0,487.0,0
198,1082.0,470.0,0
199,1036.0,454.0,0
200,991.0,437.0,0
201,945.0,420.0,0
202,899.0,404.0,0
203,853.0,387.0,0
204,807.0,371.0,0
205,761.0,354.0,0
206,715.0,337.0,0
207,670.0,321.0,0
208,624.0,304.0,0
209,578.0,288.0,0
210,532.0,271.0,0
211,486.0,254.0,0
212,1185.0,507.0,1
213,1185.0,507.0,1
214,1185.0,507.0,1
215,1185.0,507.0,1
216,1185.0,507.0,1
217,1185.0,507.0,1
218,1185.0,506.0,1
219,1185.0,506.0,1
220,1185.0,506.0,1
221,1185.0,506.0,1
222,1185.0,506.0,1
223,1186.0,506.0,1
224,1185.0,506.0,1
225,1185.0,506.0,1
226,1411.0,505.0,1
227,1335.0,505.0,0
228,1370.0,504.0,0
229,1184.0,507.0,1
230,1184.0,507.0,1
231,1454.0,314.0,1
232,1454.0,314.0,1
233,1461.0,314.0,1
234,1461.0,314.0,1
235,1338.0,504.0,1
236,1470.0,316.0,1
