frame,x,y,visible
0,1453.0,44.0,1
1,164.0,193.0,1
2,997.0,493.0,1
3,997.0,493.0,1
4,1454.0,44.0,1
5,164.0,193.0,1
6,164.0,193.0,1
7,164.0,193.0,1
8,164.0,193.0,1
9,164.0,193.0,1
10,164.0,193.0,1
11,164.0,193.0,1
12,164.0,193.0,1
13,164.0,193.0,1
14,164.0,193.0,1
15,164.0,193.0,1
16,164.0,193.0,1
17,164.0,193.0,1
18,164.0,193.0,1
19,164.0,193.0,1
20,164.0,193.0,1
21,164.0,193.0,1
22,164.0,193.0,1
23,164.0,193.0,1
24,164.0,193.0,1
25,164.0,193.0,1
26,164.0,193.0,1
27,164.0,193.0,1
28,164.0,193.0,1
29,164.0,193.0,1
30,164.0,193.0,1
31,164.0,193.0,1
32,164.0,193.0,1
33,164.0,193.0,1
34,164.0,193.0,1
35,164.0,193.0,1
36,164.0,193.0,1
37,164.0,193.0,1
38,164.0,193.0,1
39,164.0,193.0,1
40,164.0,193.0,1
41,164.0,193.0,1
42,1454.0,44.0,1
43,1454.0,44.0,1
44,1454.0,44.0,1
45,1454.0,44.0,1
46,1454.0,44.0,1
47,1454.0,44.0,1
48,1454.0,45.0,1
49,1454.0,44.0,1
50,1454.0,44.0,1
51,1454.0,44.0,1
52,1455.0,44.0,1
53,1455.0,44.0,1
54,1455.0,44.0,1
55,1455.0,44.0,1
56,1455.0,44.0,1
57,1455.0,44.0,1
58,1454.0,43.0,1
59,1454.0,43.0,1
60,1454.0,43.0,1
61,1454.0,44.0,1
62,1454.0,43.0,1
63,1454.0,43.0,1
64,1454.0,43.0,1
65,1053.0,639.0,1
66,1454.0,44.0,1
67,1454.0,44.0,1
68,1454.0,44.0,1
69,1454.0,44.0,1
70,1454.0,44.0,1
71,1454.0,44.0,1
72,1454.0,44.0,1
73,1454.0,44.0,1
74,1454.0,44.0,1
75,1454.0,44.0,1
76,1454.0,44.0,1
77,1454.0,44.0,1
78,1454.0,44.0,1
79,1454.0,44.0,1
80,1454.0,44.0,1
81,1454.0,44.0,1
82,1454.0,44.0,1
83,1454.0,44.0,1
84,1454.0,44.0,1
85,1454.0,44.0,1
86,1454.0,43.0,1
87,1454.0,43.0,1
88,1454.0,44.0,1
89,1454.0,44.0,1
90,1454.0,43.0,1
91,1454.0,44.0,1
92,1454.0,44.0,1
93,1454.0,44.0,1
94,1454.0,44.0,1
95,1454.0,44.0,1
96,1454.0,44.0,1
97,1454.0,44.0,1
98,1454.0,44.0,1
99,1454.0,44.0,1
100,1454.0,44.0,1
101,1454.0,44.0,1
102,1454.0,44.0,1
103,1454.0,44.0,1
104,1454.0,44.0,1
105,1454.0,44.0,1
106,1454.0,44.0,1
107,1454.0,44.0,1
108,598.0,686.0,1
109,598.0,686.0,1
110,1454.0,44.0,1
111,567.0,687.0,1
112,567.0,687.0,1
113,1454.0,44.0,1
114,1454.0,44.0,1
115,1454.0,44.0,1
116,1454.0,44.0,1
117,1454.0,44.0,1
118,1454.0,44.0,1
119,1454.0,44.0,1
120,1454.0,44.0,1
121,1454.0,44.0,1
122,1454.0,44.0,1
123,1454.0,44.0,1
124,1454.0,44.0,1
125,482.0,691.0,1
126,482.0,691.0,1
127,482.0,691.0,1
128,482.0,691.0,1
129,1454.0,44.0,1
130,1454.0,44.0,1
131,454.0,696.0,1
132,1454.0,44.0,1
133,1454.0,44.0,1
134,431.0,697.0,1
135,431.0,697.0,1
136,431.0,697.0,1
137,416.0,698.0,1
